mean,max,min,stddev,file,scan_number,subsegment_index,mean_laser_current,bulk
1551.3270440251572,1712.0,1228.0,93.10489768547743,layer1.csv,20,0,4515.125786163522,1.0
1496.8987341772151,1668.0,1345.0,60.93378745896151,layer1.csv,20,1,4516.96835443038,1.0
1616.817610062893,1863.0,1326.0,94.57936372215106,layer1.csv,21,0,4513.496855345912,1.0
1539.4113924050632,1743.0,1308.0,103.04282812100574,layer1.csv,21,1,4515.120253164557,1.0
1519.8050314465409,1728.0,1018.0,104.03364707205174,layer1.csv,22,0,4513.100628930818,1.0
1537.7169811320755,1690.0,1354.0,72.78763217178962,layer1.csv,22,1,4514.685534591195,1.0
1619.81875,1773.0,1217.0,76.27097022090057,layer1.csv,23,0,4512.13125,1.0
1648.5031446540881,1828.0,1437.0,79.51582052259532,layer1.csv,23,1,4514.226415094339,1.0
1607.3,1863.0,1354.0,88.98994325203269,layer1.csv,24,0,4511.45625,1.0
1563.188679245283,1712.0,1345.0,73.49968295069776,layer1.csv,24,1,4513.377358490566,1.0
1634.925,1801.0,1195.0,91.18583703075824,layer1.csv,25,0,4510.9125,1.0
1534.41875,1733.0,1336.0,83.35529916230581,layer1.csv,25,1,4511.90625,1.0
1549.527950310559,1833.0,1206.0,117.98105238505771,layer1.csv,26,0,4510.534161490683,1.0
1562.15,1717.0,1362.0,57.25831817299561,layer1.csv,26,1,4512.275,1.0
1689.0745341614906,1896.0,1279.0,107.89652005941649,layer1.csv,27,0,4509.242236024845,1.0
1574.75625,1743.0,1317.0,88.52836740806588,layer1.csv,27,1,4509.35625,1.0
1536.9875776397516,1728.0,1206.0,92.12218375665496,layer1.csv,28,0,4508.068322981367,1.0
1586.9627329192547,1733.0,1354.0,82.42842844634148,layer1.csv,28,1,4508.844720496894,1.0
1642.9876543209878,1782.0,1217.0,82.24181355592134,layer1.csv,29,0,4506.679012345679,1.0
1574.254658385093,1824.0,1388.0,95.9970418477405,layer1.csv,29,1,4508.757763975155,1.0
1570.7345679012346,1733.0,1380.0,73.38018648125097,layer1.csv,30,0,4506.6543209876545,1.0
1573.9254658385094,1876.0,1413.0,84.48018274694313,layer1.csv,30,1,4507.341614906833,1.0
1655.7962962962963,1962.0,1195.0,127.66764040286662,layer1.csv,31,0,4505.648148148148,1.0
1532.5776397515529,1680.0,1371.0,68.66017133206472,layer1.csv,31,1,4507.732919254659,1.0
1565.716049382716,1758.0,1336.0,96.70232223237126,layer1.csv,32,0,4506.018518518518,1.0
1545.192546583851,1773.0,1362.0,80.32121193871349,layer1.csv,32,1,4507.211180124224,1.0
1590.9753086419753,1819.0,1371.0,93.56591065794433,layer1.csv,33,0,4506.104938271605,1.0
1568.8641975308642,1712.0,1354.0,79.17058517965732,layer1.csv,33,1,4506.919753086419,1.0
1604.3190184049079,1987.0,1269.0,139.964575076471,layer1.csv,34,0,4506.7239263803685,1.0
1497.3333333333333,1668.0,1259.0,79.09136769865877,layer1.csv,34,1,4507.413580246914,1.0
1685.4662576687117,1863.0,1137.0,101.24327030326745,layer1.csv,35,0,4507.0245398773,1.0
1578.20987654321,1748.0,1336.0,71.49155454730088,layer1.csv,35,1,4509.006172839506,1.0
1620.3742331288342,1801.0,1259.0,85.79924391458091,layer1.csv,36,0,4506.484662576687,1.0
1512.5276073619632,1712.0,1298.0,79.10467654526184,layer1.csv,36,1,4507.331288343558,1.0
1620.5365853658536,1777.0,1149.0,90.71789496228985,layer1.csv,37,0,4507.024390243902,1.0
1587.5521472392638,1733.0,1362.0,77.71152833713707,layer1.csv,37,1,4508.21472392638,1.0
1608.939024390244,1792.0,1308.0,86.5525143793619,layer1.csv,38,0,4508.335365853659,1.0
1535.9631901840492,1707.0,1317.0,75.9995874682501,layer1.csv,38,1,4508.325153374233,1.0
